Date,Close
2025-07-20,244.55
2025-07-21,246.0
2025-07-22,249.98
2025-07-23,249.55
2025-07-24,245.72
2025-07-27,238.95
2025-07-28,235.43
2025-07-29,241.78
2025-07-30,238.13
2025-07-31,233.36
2025-08-03,227.16
2025-08-04,232.99
2025-08-05,229.0
2025-08-06,228.92
2025-08-07,228.44
2025-08-12,221.07
2025-08-13,217.55
2025-08-14,216.11
2025-08-17,213.44
2025-08-18,213.81
2025-08-19,216.12
2025-08-20,214.23
2025-08-21,213.02
2025-08-24,210.03
2025-08-25,210.16
2025-08-26,208.48
2025-08-27,211.27
2025-08-28,209.59
2025-08-31,205.24
2025-09-01,206.09
