Date,Close
2025-07-20,735.33
2025-07-21,750.0
2025-07-22,763.92
2025-07-23,764.84
2025-07-24,756.72
2025-07-27,744.89
2025-07-28,734.23
2025-07-29,736.48
2025-07-30,722.16
2025-07-31,717.09
2025-08-03,711.01
2025-08-04,716.91
2025-08-05,710.0
2025-08-06,705.66
2025-08-07,707.57
2025-08-12,709.49
2025-08-13,715.14
2025-08-14,715.69
2025-08-17,719.87
2025-08-18,725.71
2025-08-19,734.54
2025-08-20,739.14
2025-08-21,747.77
2025-08-24,732.96
2025-08-25,742.98
2025-08-26,748.45
2025-08-27,751.56
2025-08-28,747.67
2025-08-31,751.71
2025-09-01,765.33
