Date,Close
2025-07-20,227.85
2025-07-21,232.0
2025-07-22,236.3
2025-07-23,234.95
2025-07-24,232.07
2025-07-27,230.68
2025-07-28,228.87
2025-07-29,235.44
2025-07-30,232.31
2025-07-31,228.0
2025-08-03,222.09
2025-08-04,225.14
2025-08-05,222.1
2025-08-06,220.66
2025-08-07,224.8
2025-08-12,215.33
2025-08-13,212.95
2025-08-14,211.37
2025-08-17,209.91
2025-08-18,210.36
2025-08-19,210.43
2025-08-20,208.69
2025-08-21,208.23
2025-08-24,207.11
2025-08-25,209.55
2025-08-26,207.14
2025-08-27,211.08
2025-08-28,209.24
2025-08-31,206.15
2025-09-01,208.78
